"/roll_ref/data_x","/roll_ref/data_y","/roll_mv/data_x","/roll_mv/data_y"
 , ,103.1776321,-0.3835695641,
 , ,103.198153,-0.3891064248,
 , ,103.219099,-0.3963230663,
 , ,103.2396641,-0.3988461708,
 , ,103.2603831,-0.397211456,
 , ,103.280755,-0.3949891451,
 , ,103.3020689,-0.3878868932,
 , ,103.3228431,-0.3780365679,
 , ,103.342521,-0.3655198634,
 , ,103.363445,-0.3581509429,
 , ,103.383178,-0.3409310491,
 , ,103.4034271,-0.3216601528,
 , ,103.4239101,-0.3111204744,
 , ,103.4445801,-0.2882520276,
 , ,103.4648921,-0.2631510016,
 , ,103.4855201,-0.2360740614,
 , ,103.505923,-0.2218135233,
 , ,103.52758,-0.1921386449,
 , ,103.5469801,-0.1610590662,
 , ,103.5689631,-0.1288410243,
 , ,103.5882339,-0.1124215432,
 , ,103.6095769,-0.07922638293,
 , ,103.629298,-0.04589022951,
 , ,103.6503031,-0.02932290813,
 , ,103.6702371,0.003780112508,
 , ,103.690918,0.03525263407,
 , ,103.7114789,0.06539952178,
 , ,103.7320371,0.07949597018,
 , ,103.752341,0.106638549,
 , ,103.773047,0.1319577148,
 , ,103.793222,0.1437033013,
 , ,103.8136711,0.1652843388,
 , ,103.8340909,0.1841621344,
 , ,103.8570311,0.2002802069,
 , ,103.8755481,0.2072651662,
 , ,103.8973691,0.2191390645,
 , ,103.916353,0.2282436552,
 , ,103.9379551,0.2346130928,
 , ,103.9572229,0.236779331,
 , ,103.9786329,0.2391156342,
 , ,103.9982619,0.2388302111,
 , ,104.0210991,0.2364630464,
 , ,104.0396421,0.2316201514,
 , ,104.0618641,0.2282781305,
 , ,104.0822611,0.2198439187,
 , ,104.1009221,0.2097920786,
 , ,104.1220679,0.1974793444,
 , ,104.142451,0.1904237467,
 , ,104.1639981,0.1746506154,
 , ,104.1836691,0.1574079477,
 , ,104.2038901,0.1387455704,
 , ,104.2240829,0.1188063312,
 , ,104.2444329,0.1084673707,
 , ,104.2649901,0.08571727401,
 , ,104.2854881,0.06185533596,
 , ,104.3061202,0.04960393788,
 , ,104.327564,0.02467513913,
 , ,104.3467391,-0.000501456555,
 , ,104.3703032,-0.01311203035,
 , ,104.3879981,-0.03794162339,
 , ,104.4091341,-0.06162719544,
 , ,104.4288859,-0.08389444281,
 , ,104.4497211,-0.1047124928,
 , ,104.4699051,-0.114594902,
 , ,104.490798,-0.1328864793,
 , ,104.5109901,-0.1488753649,
 , ,104.5324421,-0.1559808456,
 , ,104.551713,-0.1682136109,
 , ,104.5730991,-0.1732732908,
 , ,104.592737,-0.1812251747,
 , ,104.613085,-0.1861864094,
 , ,104.633647,-0.1875397769,
 , ,104.6541071,-0.1881414682,
 , ,104.674624,-0.1860341762,
 , ,104.6986601,-0.1840386109,
 , ,104.7159221,-0.1780495621,
 , ,104.7379839,-0.1696865074,
 , ,104.7568851,-0.1643183212,
 , ,104.777514,-0.1521126676,
 , ,104.7980821,-0.1452846056,
 , ,104.8186061,-0.1304966112,
 , ,104.839179,-0.1143266464,
 , ,104.8617001,-0.09712961005,
 , ,104.8800399,-0.08828739924,
 , ,104.900506,-0.07036548399,
 , ,104.922487,-0.05252779558,
 , ,104.9429669,-0.03524758814,
 , ,104.9622281,-0.0270049533,
 , ,104.9840801,-0.01137531334,
 , ,105.004245,0.002704525579,
 , ,105.0235631,0.009063123544,
 , ,105.043961,0.02014003127,
 , ,105.0646601,0.02888086143,
 , ,105.0866551,0.03233974832,
 , ,105.1060162,0.03730721857,
 , ,105.1266611,0.03976852311,
 , ,105.146878,0.03959201416,
 , ,105.1672041,0.03855339061,
 , ,105.1878471,0.03462723579,
 , ,105.209218,0.02836193143,
 , ,105.2285981,0.02045692571,
 , ,105.2493861,0.01566723534,
 , ,105.2699521,0.00454363717,
 , ,105.290401,-0.008443535098,
 , ,105.310745,-0.01557231387,
 , ,105.331465,-0.03164975059,
 , ,105.3518081,-0.04881476267,
 , ,105.371984,-0.05769738469,
 , ,105.392581,-0.07585158755,
 , ,105.4134731,-0.09414483096,
 , ,105.433527,-0.1032073318,
 , ,105.4539621,-0.1208801645,
 , ,105.474596,-0.1375439464,
 , ,105.4951901,-0.1525531972,
 , ,105.5156419,-0.1661854712,
 , ,105.5380001,-0.1723451982,
 , ,105.5567391,-0.1830481057,
 , ,105.577132,-0.1915374094,
 , ,105.5978591,-0.1949095259,
 , ,105.618192,-0.1997567724,
 , ,105.638845,-0.2021095698,
 , ,105.6631141,-0.2019023252,
 , ,105.6797841,-0.2008679765,
 , ,105.704159,-0.1969132705,
 , ,105.7205291,-0.1911047216,
 , ,105.7424099,-0.1829543687,
 , ,105.763711,-0.1780265489,
 , ,105.7826111,-0.1665376129,
 , ,105.8045001,-0.1530990131,
 , ,105.823559,-0.1378747802,
 , ,105.8439741,-0.1296704976,
 , ,105.864264,-0.1123236167,
 , ,105.8850892,-0.09398363078,
 , ,105.90535,-0.07574158087,
 , ,105.9256821,-0.05776444603,
 , ,105.9461901,-0.04875028495,
 , ,105.968857,-0.03098928875,
 , ,105.987324,-0.01400833034,
 , ,106.011095,0.001922931969,
 , ,106.0288811,0.009319421678,
 , ,106.0497761,0.0227560243,
 , ,106.069705,0.03416061321,
 , ,106.0899501,0.04332097808,
 , ,106.110636,0.04698209857,
 , ,106.130899,0.05238543128,
 , ,106.151453,0.05415663205,
 , ,106.172581,0.0557787577,
 , ,106.192641,0.05490743633,
 , ,106.213038,0.05156094791,
 , ,106.2335191,0.04899457715,
 , ,106.25407,0.04210725154,
 , ,106.274534,0.03746848597,
 , ,106.2949481,0.02666559816,
 , ,106.3154171,0.01389040959,
 , ,106.335999,-0.0006591031346,
 , ,106.3563709,-0.008517119234,
 , ,106.377763,-0.02527167088,
 , ,106.397275,-0.04313615315,
 , ,106.418107,-0.05237028617,
 , ,106.4387381,-0.07122148415,
 , ,106.4609439,-0.09027550942,
 , ,106.4794531,-0.09972228401,
 , ,106.5014961,-0.1181944825,
 , ,106.5217559,-0.1356336317,
 , ,106.544132,-0.1439043827,
 , ,106.5621941,-0.159717373,
 , ,106.58216,-0.1734577009,
 , ,106.604147,-0.1849795966,
 , ,106.62363,-0.189901181,
 , ,106.643353,-0.1979074108,
 , ,106.664057,-0.2033601905,
 , ,106.6852181,-0.2051812445,
 , ,106.7050049,-0.2067923732,
 , ,106.7261841,-0.2055827007,
 , ,106.7458911,-0.2038897537,
 , ,106.7664959,-0.1985889844,
 , ,106.786916,-0.1907644063,
 , ,106.8098001,-0.1859511948,
 , ,106.8278461,-0.1745091027,
 , ,106.848722,-0.1607551742,
 , ,106.8689811,-0.1448304327,
 , ,106.889595,-0.1361314226,
 , ,106.9097509,-0.1173367902,
 , ,106.930593,-0.1068767339,
 , ,106.9509261,-0.08502954984,
 , ,106.971653,-0.06271645651,
 , ,106.991873,-0.04006266217,
 , ,107.0126891,-0.01708852634,
 , ,107.0323989,-0.0056230423,
 , ,107.053071,0.0169545357,
 , ,107.0733202,0.03865084873,
 , ,107.093936,0.04907319241,
 , ,107.114157,0.06864983363,
 , ,107.1345701,0.08632142324,
 , ,107.155529,0.1021723704,
 , ,107.177835,0.1093120402,
 , ,107.196183,0.1217870489,
 , ,107.2179711,0.1317039034,
 , ,107.23722,0.1391054111,
 , ,107.2593291,0.1418207244,
 , ,107.2781451,0.1453245995,
 , ,107.3006711,0.1462848776,
 , ,107.3194861,0.1447575596,
 , ,107.3411081,0.1413044503,
 , ,107.3601861,0.1386638049,
 , ,107.3815219,0.1316634908,
 , ,107.401047,0.1224419372,
 , ,107.4218211,0.1110814274,
 , ,107.4430552,0.1046631085,
 , ,107.4635921,0.09046608861,
 , ,107.483587,0.07463969667,
 , ,107.5035009,0.0661926648,
 , ,107.5239031,0.04840239597,
 , ,107.5443971,0.03007037498,
 , ,107.5652649,0.0113951409,
 , ,107.585535,0.001915440186,
 , ,107.6057651,-0.01712677565,
 , ,107.6264961,-0.03583731496,
 , ,107.648279,-0.05375203835,
 , ,107.6674991,-0.06221980614,
 , ,107.6890631,-0.07811167183,
 , ,107.7087071,-0.09232856132,
 , ,107.7301121,-0.09865151165,
 , ,107.7502751,-0.1094938648,
 , ,107.770164,-0.117954829,
 , ,107.790792,-0.1238316976,
 , ,107.81159,-0.126970332,
 , ,107.831538,-0.1274954552,
 , ,107.8519301,-0.1264252222,
 , ,107.872509,-0.1226617225,
 , ,107.892946,-0.116727303,
 , ,107.9134641,-0.1081366534,
 , ,107.9338861,-0.1032451513,
 , ,107.9544501,-0.09104230199,
 , ,107.9747481,-0.08383575572,
 , ,107.995369,-0.06691710564,
 , ,108.015707,-0.04807396764,
 , ,108.036315,-0.03796624833,
 , ,108.0570049,-0.01710212975,
 , ,108.077141,0.004619826606,
 , ,108.097986,0.01641100546,
 , ,108.1179051,0.04047942037,
 , ,108.1391881,0.06451689083,
 , ,108.1588809,0.07639507394,
 , ,108.182982,0.09940750432,
 , ,108.200247,0.1211128345,
 , ,108.2233481,0.1411527425,
 , ,108.241791,0.1594395567,
 , ,108.2620041,0.1681006175,
 , ,108.2838621,0.1838076506,
 , ,108.3028421,0.1972268931,
 , ,108.3240311,0.2081589458,
 , ,108.344883,0.2126831047,
 , ,108.3651521,0.2199608456,
 , ,108.3848209,0.2245796492,
 , ,108.4052081,0.2268883946,
 , ,108.425621,0.2271055054,
 , ,108.4477501,0.2255651075,
 , ,108.466768,0.2238253104,
 , ,108.4896209,0.2186852763,
 , ,108.50807,0.2108665177,
 , ,108.5284901,0.2062296675,
 , ,108.548763,0.1955746224,
 , ,108.569746,0.183244266,
 , ,108.589756,0.176535416,
 , ,108.6106021,0.1620999007,
 , ,108.6308789,0.1465551615,
 , ,108.6516039,0.1302032405,
 , ,108.671628,0.1218451534,
 , ,108.6924481,0.1055086809,
 , ,108.712954,0.08911554568,
 , ,108.7332191,0.07312198318,
 , ,108.75383,0.06542921642,
 , ,108.774205,0.05098233373,
 , ,108.7945881,0.03798963477,
 , ,108.817493,0.02676805111,
 , ,108.8360581,0.02204012351,
 , ,108.8576951,0.01429480646,
 , ,108.8768671,0.009105867559,
 , ,108.8986671,0.006368949117,
 , ,108.917438,0.006078001613,
 , ,108.9388499,0.007693162417,
 , ,108.9583211,0.01232937025,
 , ,108.980145,0.01577206594,
 , ,108.9995821,0.02496409512,
 , ,109.0217659,0.03724834438,
 , ,109.040319,0.0525756735,
 , ,109.061451,0.06138989553,
 , ,109.081327,0.08131853121,
 , ,109.101788,0.1044192921,
 , ,109.123198,0.1170005808,
 , ,109.142632,0.1439788762,
 , ,109.163759,0.1732731841,
 , ,109.1837502,0.1887288942,
 , ,109.2041731,0.220913855,
 , ,109.2248549,0.2545871571,
 , ,109.2455511,0.2891602738,
 , ,109.2659709,0.3059608391,
 , ,109.2875881,0.3380939051,
 , ,109.307234,0.3654208028,
 , ,109.328222,0.376271365,
 , ,109.3483281,0.3916016973,
 , ,109.369065,0.3996481134,
 , ,109.3890741,0.4012405351,
 , ,109.409529,0.3973038075,
 , ,109.430645,0.3882573524,
 , ,109.4516389,0.3820297401,
 , ,109.4716079,0.3664885407,
 , ,109.4921291,0.3472852767,
 , ,109.5126081,0.3364422331,
 , ,109.5330729,0.3124993501,
 , ,109.553544,0.2851629672,
 , ,109.573859,0.2709527538,
 , ,109.594491,0.2401096466,
 , ,109.614773,0.2066849134,
 , ,109.6354921,0.1893597427,
 , ,109.657928,0.153540813,
 , ,109.67658,0.1163629275,
 , ,109.6970961,0.07810688064,
